index,name,year,hardware,related_game,is_link,id,thumbnail_url
1,"Super Mario Bros.",1985,"Nintendo Entertainment System","New Super Mario Bros. U Deluxe|Super Mario 64|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Bros. Wonder|Super Mario Galaxy|Super Mario Odyssey|Super Mario World",False,"4cf411d1-7917-40b5-9f53-bfa2052d7b64","https://image-assets.m.nintendo.com/ca47dec6-1956-4222-afba-fe0ecca035bf"
2,"Metroid (Famicom Disk System)",1986,"Nintendo Entertainment System","Metroid|Metroid Prime",False,"a6460660-a9ed-4013-afc7-ae9f5c55921a","https://image-assets.m.nintendo.com/54f60c66-365d-4485-85e3-3d424cfa58dc"
3,"Metroid",1987,"Nintendo Entertainment System","Metroid (Famicom Disk System)|Metroid Prime",False,"a12f99be-82cd-4318-82f7-d6d6c3fd447b","https://image-assets.m.nintendo.com/92cde466-c87c-474f-beb1-97bed1511708"
4,"Dr. Mario (Game Boy)",1990,"Game Boy","Dr. Mario (NES)",False,"4f9fd050-cb14-44c5-b6b6-49145d416384","https://image-assets.m.nintendo.com/28ca3fae-13cf-474d-8f27-8e47645ed511"
5,"Kirby's Dream Land",1992,"Game Boy","Kirby Star Allies|Kirby und das vergessene Land",False,"6c8da15c-c4d1-4f39-9bad-bbaa9bf44fd8","https://image-assets.m.nintendo.com/ee442c76-9ec4-4368-8117-2c8c3fda4bb4"
6,"Donkey Kong Country",1994,"Super Nintendo Entertainment System","Donkey Kong Country 2: Diddy's Kong Quest|Donkey Kong Country 3: Dixie Kong's Double Trouble!",False,"ce614c2a-ca3e-449a-aa30-ddd626602f90","https://image-assets.m.nintendo.com/cb9b9d7e-d9e7-4e86-a75f-04a73d1aef84"
7,"Super Mario World 2: Yoshi's Island",1995,"Super Nintendo Entertainment System","Yoshi's Story",False,"78c1596d-e1fe-40d7-8727-db57dc668318","https://image-assets.m.nintendo.com/0e3e33c9-c3fd-49d5-96da-45d32981c036"
8,"Lylat Wars",1997,"Nintendo 64","",False,"68c46294-47d4-469a-aca6-c585598585cc","https://image-assets.m.nintendo.com/b03ea9c8-9472-4c30-8e19-903a3c38503d"
9,"The Legend of Zelda: Ocarina of Time",1998,"Nintendo 64","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Breath of the Wild|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Skyward Sword|The Legend of Zelda: Tears of the Kingdom|The Legend of Zelda: The Wind Waker",False,"e37be727-867e-4b3f-a223-944549ea4131","https://image-assets.m.nintendo.com/85bfc89a-ecfd-4588-a40f-b4a48c2af88c"
10,"Fire Emblem: The Blazing Blade",2003,"Game Boy Advance","Fire Emblem Engage",False,"8f3bdf4d-273f-4efd-8f66-8ea1d2602d83","https://image-assets.m.nintendo.com/539efea4-7986-47f1-aa86-77d89d0cbe5d"
11,"Metroid Prime Remastered",2023,"Nintendo Switch","Metroid|Metroid (Famicom Disk System)",True,"8e9fd75a-e7b0-4bce-a9fb-da5f578120e4","https://image-assets.m.nintendo.com/ea0e545c-af40-4b47-a867-016deee66ebf"
12,"Metroid Prime",2003,"Nintendo GameCube","Metroid|Metroid (Famicom Disk System)",False,"e8fd2a7c-9d10-4030-b7c7-5fc7b1f6b08d","https://image-assets.m.nintendo.com/e078b63b-25a1-418d-a1ad-467b3813bbf1"
13,"nintendogs",2005,"Nintendo DS","",False,"067e9785-fc55-439e-925f-7d41610b7187","https://image-assets.m.nintendo.com/56d050db-a9dd-4419-944c-b0552338aed1"
14,"Tomodachi Collection",2009,"Nintendo DS","",False,"5c6a1753-c81a-4698-9ccb-0feb086b32b7","https://image-assets.m.nintendo.com/29e9099e-5c9c-418f-8de0-2b512aa58491"
15,"Wii-Kanäle",2006,"Wii","",False,"72553c1e-1400-4550-9c1c-385fee475a6b","https://image-assets.m.nintendo.com/e5407cba-6e55-4ba2-8691-4ed74cc0e65b"
16,"Super Mario Galaxy",2007,"Wii","New Super Mario Bros. U Deluxe|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Bros. Wonder|Super Mario Odyssey|Super Mario World",False,"0c667028-4647-49f1-bf7b-06dc4a51cbff","https://image-assets.m.nintendo.com/c48f47dd-fe5f-4d5b-b73b-b988c41dac5f"
17,"The Legend of Zelda: Breath of the Wild",2017,"Wii U","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Skyward Sword|The Legend of Zelda: Tears of the Kingdom|The Legend of Zelda: The Wind Waker",True,"c0bd59b6-00a2-41f4-acfb-f2d8d92103a1","https://image-assets.m.nintendo.com/fc09a962-53b9-4cea-b894-efdbde523d1e"
18,"The Legend of Zelda: Breath of the Wild",2017,"Nintendo Switch","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Skyward Sword|The Legend of Zelda: Tears of the Kingdom|The Legend of Zelda: The Wind Waker",False,"20960665-fb98-4830-b8d5-37674a140e1b","https://image-assets.m.nintendo.com/5bdfd83a-a15d-486c-bd09-6e0e91b5eab5"
19,"Mario Kart 8",2014,"Wii U","Mario Kart 64|Mario Kart 7|Super Mario Kart",True,"626ceffe-a7cd-4f9a-9ce5-91c02bd65c65","https://image-assets.m.nintendo.com/2be85e58-b64a-4418-9671-433e958993d0"
20,"Mario Kart 8 Deluxe",2017,"Nintendo Switch","Mario Kart 64|Mario Kart 7|Super Mario Kart",False,"32516e30-667c-4c14-ac1f-fbae00910d86","https://image-assets.m.nintendo.com/9c33162c-d545-407b-ac85-3b614f62c6df"
21,"Super Mario Odyssey",2017,"Nintendo Switch","New Super Mario Bros. U Deluxe|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Bros. Wonder|Super Mario Galaxy|Super Mario World",False,"4ac191a0-883d-47e5-8818-4d6c95f4f7b1","https://image-assets.m.nintendo.com/6a47e017-c6c8-4cd5-8f6c-7affc4e023c3"
22,"Kirby Star Allies",2018,"Nintendo Switch","Kirby und das vergessene Land|Kirby's Dream Land",False,"b9dbd022-9881-4d77-a7af-d0972cd87c51","https://image-assets.m.nintendo.com/56bacfa4-cf87-4dab-94fb-a1e901129f0d"
23,"Animal Crossing: New Horizons",2020,"Nintendo Switch","",False,"76360835-b0c6-4828-846b-efd514d01127","https://image-assets.m.nintendo.com/6c2c50f7-0942-44d9-b035-f1ff64e2a65d"
24,"Splatoon 3",2022,"Nintendo Switch","Splatoon|Splatoon 2",False,"5bd86aee-7a21-4aac-a894-bb3f98d0cc91","https://image-assets.m.nintendo.com/673282c9-6b96-4eac-a990-40a69fcf16a4"
25,"Pokémon Karmesin und Pokémon Purpur",2022,"Nintendo Switch","Pokémon Schwert und Pokémon Schild|Pokémon-Legenden: Arceus",False,"ecb10bab-6cf6-4f72-8c0d-a2bdabaf740a","https://image-assets.m.nintendo.com/5606175e-0977-47ee-b4cf-7a7c7a4117ed"
26,"Pikmin 4",2023,"Nintendo Switch","",False,"4da252fa-2706-49f2-a21b-fb8443d2584a","https://image-assets.m.nintendo.com/caaceaab-1140-4430-8f54-706cba7e388d"
27,"Super Mario Bros. Wonder",2023,"Nintendo Switch","New Super Mario Bros. U Deluxe|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy|Super Mario Odyssey|Super Mario World",False,"e55a92d6-12f2-4011-8312-e7b38e2a3c7f","https://image-assets.m.nintendo.com/b3972463-9169-4c1e-9183-305b159d1609"
28,"Donkey Kong Country 2: Diddy's Kong Quest",1995,"Super Nintendo Entertainment System","Donkey Kong Country|Donkey Kong Country 3: Dixie Kong's Double Trouble!",False,"8c4d990d-6e83-4ba6-9ff5-f8da1792e6cf","https://image-assets.m.nintendo.com/696905a5-d86f-452a-90ae-73c4c5a2062d"
29,"Wii Sports",2006,"Wii","",False,"f137bc44-6ce6-4890-88fe-b6197e07d5a2","https://image-assets.m.nintendo.com/7a480745-3e90-43dd-9ee2-86a92039b2f1"
30,"F-Zero X",1998,"Nintendo 64","F-ZERO",False,"cc83236d-5e11-40ba-b2cd-2769ffb41f02","https://image-assets.m.nintendo.com/e0473a8c-9409-46c3-8eed-152dde6e3848"
31,"Dr. Kawashimas Gehirn-Jogging - Wie fit ist Ihr Gehirn?",2005,"Nintendo DS","",False,"1324151b-3f15-47c5-bb66-77ee58616670","https://image-assets.m.nintendo.com/6ec404bb-aabc-47c3-b46d-36e1ab004bb0"
32,"Splatoon 2",2017,"Nintendo Switch","Splatoon|Splatoon 3",False,"f3a39d36-519f-4839-87d3-ec70c0298b6a","https://image-assets.m.nintendo.com/2cdd6eab-f6e3-4c2d-9d0f-aaea5edb3303"
33,"Wave Race 64",1996,"Nintendo 64","",False,"cfb89933-b2cc-4a73-a9a8-8c8b39c05ae1","https://image-assets.m.nintendo.com/ecfab1df-7995-4846-9f0e-17877ed5a7c6"
34,"The Legend of Zelda: Skyward Sword HD",2021,"Nintendo Switch","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Breath of the Wild|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Tears of the Kingdom|The Legend of Zelda: The Wind Waker",True,"50737c2d-12e6-4584-b86c-529370abae35","https://image-assets.m.nintendo.com/7dc90228-fd53-4c16-b1e8-ac1ebe049ad6"
35,"The Legend of Zelda: Skyward Sword",2011,"Wii","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Breath of the Wild|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Tears of the Kingdom|The Legend of Zelda: The Wind Waker",False,"fd8e771f-dd0f-4835-986d-21cc9ebcce57","https://image-assets.m.nintendo.com/ce9a830e-23d4-4b1f-8130-d31aaa33778a"
36,"Super Mario 64",1996,"Nintendo 64","New Super Mario Bros. U Deluxe|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Bros. Wonder|Super Mario Galaxy|Super Mario Odyssey|Super Mario World",False,"a798b57d-a6d2-4e38-a507-af0b7a79711e","https://image-assets.m.nintendo.com/adb2e89b-3339-453a-96a7-36c75311c216"
37,"Donkey Kong Country 3: Dixie Kong's Double Trouble!",1996,"Super Nintendo Entertainment System","Donkey Kong Country|Donkey Kong Country 2: Diddy's Kong Quest",False,"635ebbcf-0a05-40e7-b61b-9d505992f7bf","https://image-assets.m.nintendo.com/5f44e4e2-9082-4f06-9c7f-3ee82671635e"
38,"The Legend of Zelda: The Wind Waker",2002,"Nintendo GameCube","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Breath of the Wild|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Skyward Sword|The Legend of Zelda: Tears of the Kingdom",False,"8dde3e5c-ee99-4fe4-81e0-12def3a17c01","https://image-assets.m.nintendo.com/e4c3e3b1-8bde-4438-affe-eb3c3768c8db"
39,"Super Mario Kart",1992,"Super Nintendo Entertainment System","Mario Kart 64|Mario Kart 7|Mario Kart 8 Deluxe",False,"5697264d-4c24-4b3c-b5ab-6df55e97c15f","https://image-assets.m.nintendo.com/22d33cfb-1dd8-426e-a32f-544d0f5f82ae"
40,"Pokémon-Legenden: Arceus",2022,"Nintendo Switch","Pokémon Karmesin und Pokémon Purpur|Pokémon Schwert und Pokémon Schild",False,"ff64323c-18b3-4cbd-b78e-0d1d3c7b5da7","https://image-assets.m.nintendo.com/e280fda0-7166-4a27-a52c-77f60dbc5206"
41,"Super Mario World",1990,"Super Nintendo Entertainment System","New Super Mario Bros. U Deluxe|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Bros. Wonder|Super Mario Galaxy|Super Mario Odyssey",False,"1affab73-5947-4942-8865-837f84b49570","https://image-assets.m.nintendo.com/c2a9a62e-8e5c-4989-9b78-6df3840b388a"
42,"Golden Sun",2001,"Game Boy Advance","",False,"e302d510-390e-4e31-a73e-6f5fef6fcb2d","https://image-assets.m.nintendo.com/869098a6-6997-4695-9684-21797027da30"
43,"StreetPass Mii-Lobby",2011,"Nintendo 3DS","",False,"e3fc8a8d-93d1-46e0-8996-f2869b63c52b","https://image-assets.m.nintendo.com/6da580f9-b686-4793-b3d4-094c71adf573"
44,"Super Mario Bros. 2",1988,"Nintendo Entertainment System","New Super Mario Bros. U Deluxe|Super Mario 64|Super Mario Bros.|Super Mario Bros. 3|Super Mario Bros. Wonder|Super Mario Galaxy|Super Mario Odyssey|Super Mario World",False,"39ef12b8-5128-4e7c-95b3-e12f22274e51","https://image-assets.m.nintendo.com/23f19285-4879-42ca-9c71-273d170439d7"
45,"The Legend of Zelda: A Link to the Past",1991,"Super Nintendo Entertainment System","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: Breath of the Wild|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Skyward Sword|The Legend of Zelda: Tears of the Kingdom|The Legend of Zelda: The Wind Waker",False,"2e710695-0ea6-425b-b0b5-d49012e7c1a4","https://image-assets.m.nintendo.com/1bf961b5-69b8-4328-a7a2-22ec575d7b00"
46,"Super Mario Bros. 3",1988,"Nintendo Entertainment System","New Super Mario Bros. U Deluxe|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. Wonder|Super Mario Galaxy|Super Mario Odyssey|Super Mario World",False,"776a9a5d-6705-461f-b126-3312184b7596","https://image-assets.m.nintendo.com/47923580-aa79-48e4-8119-da9e032daed1"
47,"Tetris® (NES)",1989,"Nintendo Entertainment System","Tetris® (Game Boy)",False,"fd836877-c32e-4898-802d-81c0beefae99","https://image-assets.m.nintendo.com/f8625ec9-e5ad-4624-9ea9-2aa30948e00e"
48,"Dr. Mario (NES)",1990,"Nintendo Entertainment System","Dr. Mario (Game Boy)",False,"8b8f87d1-4a54-4ab1-a644-e82aaae5e8a8","https://image-assets.m.nintendo.com/d18daf00-8889-415d-81d1-7fc2dc48828a"
49,"Tetris® (Game Boy)",1989,"Game Boy","Tetris® (NES)",False,"7770d07d-98d7-4d79-b821-85c466040938","https://image-assets.m.nintendo.com/f5a5a841-e160-44ad-bff9-fbfa186b1dfd"
50,"Kirby und das vergessene Land",2022,"Nintendo Switch","Kirby Star Allies|Kirby's Dream Land",False,"ba7a0098-9118-4a35-b52b-44b6a9cbfb14","https://image-assets.m.nintendo.com/b43392db-9830-48a5-a6e1-09320d35d9ae"
51,"F-ZERO",1990,"Super Nintendo Entertainment System","F-Zero X",False,"e534827d-d045-4a0d-b5c1-b95bd31d514e","https://image-assets.m.nintendo.com/819e2aa9-9d6d-4b9e-a2b8-170441dd441e"
52,"Luigi's Mansion",2018,"Nintendo 3DS","",True,"6f155eed-5512-4506-8ce7-b82e880e40e3","https://image-assets.m.nintendo.com/d413204b-ecfd-492a-a25a-861f97f43619"
53,"Luigi's Mansion",2001,"Nintendo GameCube","",False,"8baa4c28-2ad7-4628-9526-0cd2504ad69a","https://image-assets.m.nintendo.com/3ab13dae-2c89-40c8-8d4c-becfa58458bb"
54,"The Legend of Zelda (Famicom Disk System)",1986,"Nintendo Entertainment System","The Legend of Zelda|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Breath of the Wild|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Skyward Sword|The Legend of Zelda: Tears of the Kingdom|The Legend of Zelda: The Wind Waker",False,"69246a8b-5be0-4e28-a994-0bcf28c1aa57","https://image-assets.m.nintendo.com/c3279831-a3f6-416d-8ab1-60ce8d80c4ca"
55,"The Legend of Zelda",1987,"Nintendo Entertainment System","The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Breath of the Wild|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Skyward Sword|The Legend of Zelda: Tears of the Kingdom|The Legend of Zelda: The Wind Waker",False,"c85ce588-41ef-47f9-a208-1693a8b27a29","https://image-assets.m.nintendo.com/740301d1-42e1-4355-b39e-7ae1cab8d322"
56,"Fire Emblem Engage",2023,"Nintendo Switch","Fire Emblem: The Blazing Blade",False,"8cf45f75-a7d1-4302-985a-580544b5b402","https://image-assets.m.nintendo.com/cc51e102-e37d-49a8-90bb-1d10ab364842"
57,"Mario Kart 7",2011,"Nintendo 3DS","Mario Kart 64|Mario Kart 8 Deluxe|Super Mario Kart",False,"1daeee9a-cbbe-49f8-9ef4-b3adae6033a2","https://image-assets.m.nintendo.com/21276297-eb0b-4935-98b6-afb145fa46d1"
58,"Pokémon Schwert und Pokémon Schild",2019,"Nintendo Switch","Pokémon Karmesin und Pokémon Purpur|Pokémon-Legenden: Arceus",False,"6e5e1419-bf85-49fe-9287-1dc87e9daa6b","https://image-assets.m.nintendo.com/ee90eb25-7992-4080-9e9a-89907e22d4ba"
59,"Kid Icarus (Famicom Disk System)",1986,"Nintendo Entertainment System","Kid Icarus",False,"e841b8c7-6934-48ef-90bf-cb38d6c37eb6","https://image-assets.m.nintendo.com/e00db85f-65be-4e9a-8b01-972f1594850f"
60,"Kid Icarus",1987,"Nintendo Entertainment System","Kid Icarus (Famicom Disk System)",False,"6ae77b03-e589-430c-ae59-c695fee12d38","https://image-assets.m.nintendo.com/b8256cb5-4650-44ce-b07e-f77a9056766a"
61,"Splatoon",2015,"Wii U","Splatoon 2|Splatoon 3",False,"6338c15d-3f36-47f0-aa47-e46d69ff50f5","https://image-assets.m.nintendo.com/eee50504-5db6-49b7-a084-5f84b7e0cab3"
62,"The Legend of Zelda: Tears of the Kingdom",2023,"Nintendo Switch","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Breath of the Wild|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time 3D|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker",False,"545c9528-07f7-42d5-b89e-89e71b12aaa5","https://image-assets.m.nintendo.com/4f39fa6a-758e-480f-ad85-5f6293d8ca9c"
63,"51 Worldwide Games",2020,"Nintendo Switch","",False,"44978515-f903-4cc4-b811-27525549379d","https://image-assets.m.nintendo.com/9e090ea3-89ec-4f05-810d-518fa187c622"
64,"Yoshi's Story",1997,"Nintendo 64","Super Mario World 2: Yoshi's Island",False,"10395ecd-ce82-4dea-b11d-a4db60ed327f","https://image-assets.m.nintendo.com/892fc224-27eb-4aac-99a0-0a5de96639fc"
65,"New Super Mario Bros. U",2012,"Wii U","Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Bros. Wonder|Super Mario Galaxy|Super Mario Odyssey|Super Mario World",True,"f003b201-2457-4fa5-b669-9cb20f04acc7","https://image-assets.m.nintendo.com/32e1a896-8446-414a-ba49-82e87896f091"
66,"New Super Mario Bros. U Deluxe",2019,"Nintendo Switch","Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Bros. Wonder|Super Mario Galaxy|Super Mario Odyssey|Super Mario World",False,"96074b69-9403-46b1-ac53-9d9553d73f9f","https://image-assets.m.nintendo.com/752c5b1f-9fc8-4fe9-b4ba-46dee2a5ef6a"
67,"The Legend of Zelda: Ocarina of Time 3D",2011,"Nintendo 3DS","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Breath of the Wild|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Skyward Sword|The Legend of Zelda: Tears of the Kingdom|The Legend of Zelda: The Wind Waker",False,"ec17ed58-8aa2-4869-8bc2-c6f254f28b14","https://image-assets.m.nintendo.com/cc6629a7-402f-4fe4-a682-fa4a6078196b"
68,"Mario Kart 64",1996,"Nintendo 64","Mario Kart 7|Mario Kart 8 Deluxe|Super Mario Kart",False,"c0497f24-91de-4141-a450-2b4abdc0a3ba","https://image-assets.m.nintendo.com/0cd9e725-46ee-4d04-87ac-93d7770455d3"
69,"Donkey Kong",1983,"Nintendo Entertainment System","Donkey Kong 3|Donkey Kong Jr.|Donkey Kong Jr. Math",False,"a8c16748-1e0e-469a-b561-1f7698c73c78","https://image-assets.m.nintendo.com/d92d795b-0fe9-4620-b972-328c2cb1ee37"
70,"Donkey Kong Jr.",1983,"Nintendo Entertainment System","Donkey Kong|Donkey Kong 3|Donkey Kong Jr. Math",False,"01da3b2a-827a-4c71-9e54-ad7fc12eb32f","https://image-assets.m.nintendo.com/54a40a4f-30b5-4c33-adaf-2ada6b76d8b7"
71,"Mah-Jong",1983,"Nintendo Entertainment System","",False,"5d1bc3a6-0de5-4401-ad5b-d1a8e570ef2f","https://image-assets.m.nintendo.com/8a236827-9f00-439c-a6d9-7020a08d3eca"
72,"Gomoku Narabe Renju",1983,"Nintendo Entertainment System","",False,"2971bd39-9eba-4a48-bb34-d0849dd30619","https://image-assets.m.nintendo.com/2aa93ba3-9860-4182-9fd0-641444b50519"
73,"Mario Bros.",1983,"Nintendo Entertainment System","",False,"f7371874-f738-4e10-97e8-674cffcfea14","https://image-assets.m.nintendo.com/245c43c4-cf95-4ac4-9710-c4c277344b6f"
74,"Baseball",1983,"Nintendo Entertainment System","",False,"428e687e-4a49-4232-b705-b83d8dc912d4","https://image-assets.m.nintendo.com/adbb40fa-f8ec-4de2-a405-2cfc8a59826b"
75,"Donkey Kong Jr. Math",1983,"Nintendo Entertainment System","Donkey Kong|Donkey Kong 3|Donkey Kong Jr.",False,"26878345-edda-465b-b2a2-ad9a1b702e73","https://image-assets.m.nintendo.com/4b2cec5e-9b9f-45e7-ba50-cba40eb50454"
76,"Tennis",1984,"Nintendo Entertainment System","",False,"84b6564a-da3c-49b3-b629-a66de128271f","https://image-assets.m.nintendo.com/6706c566-d7d0-48e9-8398-7e0ca83dabc3"
77,"Pinball",1984,"Nintendo Entertainment System","",False,"91485b2a-735d-4e88-895d-39a3aba3d89d","https://image-assets.m.nintendo.com/0209d2f8-d727-4251-a16e-b61eb02e2629"
78,"Wild Gunman",1984,"Nintendo Entertainment System","",False,"1861e528-96d6-4400-b402-7a0e13b29c25","https://image-assets.m.nintendo.com/d4ce51a0-4e7d-4d67-b1b1-46b2629f154d"
79,"Duck Hunt",1984,"Nintendo Entertainment System","",False,"42f7e035-28b8-4f6b-b61f-e17b27ec1ef9","https://image-assets.m.nintendo.com/c72af487-c841-45cf-b2bb-3749369dd02a"
80,"Golf",1984,"Nintendo Entertainment System","",False,"a9d48334-6127-4c1c-814b-398bb745a3bf","https://image-assets.m.nintendo.com/9bca7608-8e1f-4f7d-9d93-a08f6d111558"
81,"Hogan's Alley",1984,"Nintendo Entertainment System","",False,"11654335-64f6-4293-8115-01141c92d991","https://image-assets.m.nintendo.com/193a3fbd-3d52-4ed9-837a-d492900915b2"
82,"Donkey Kong 3",1984,"Nintendo Entertainment System","Donkey Kong|Donkey Kong Jr.|Donkey Kong Jr. Math",False,"e932b142-b6f4-4cd6-b510-5a4dacf194ab","https://image-assets.m.nintendo.com/67373094-7d1c-4cb3-83f5-06c80f94e043"
83,"Devil World",1984,"Nintendo Entertainment System","",False,"213a8358-7eb2-4c48-ae8b-468b00ae9d70","https://image-assets.m.nintendo.com/1300f824-6d55-46c9-8ef0-b0e3add839c3"
84,"F1 Race",1984,"Nintendo Entertainment System","",False,"5a474de8-2e18-484c-9416-a00fb50dba9e","https://image-assets.m.nintendo.com/42df18b1-d0df-4226-adea-855e80ecb628"
85,"Urban Champion",1984,"Nintendo Entertainment System","",False,"638d5c9f-4040-4369-8833-af9f0fa94035","https://image-assets.m.nintendo.com/8386d9cc-7134-48f9-a18c-d5cf404ffb1b"
86,"Clu Clu Land",1984,"Nintendo Entertainment System","",False,"67d3cca8-4c7d-4e33-a024-6ce960cf28c8","https://image-assets.m.nintendo.com/b0781a3f-3ef0-4477-b96f-e88f7dbe5f3e"
87,"Excitebike",1984,"Nintendo Entertainment System","",False,"07c679cb-ba16-45e1-ad13-38db720f1c56","https://image-assets.m.nintendo.com/d6619753-7add-4782-a7cc-101d39f4624a"
88,"Balloon Fight",1985,"Nintendo Entertainment System","",False,"2d4ad55e-d6e7-487a-b75c-29be33751cff","https://image-assets.m.nintendo.com/be7f5ce8-15a3-4437-8a4f-b05790fd8a1e"
89,"Ice Climber",1985,"Nintendo Entertainment System","",False,"7fac41f7-34c7-4384-a5f7-fdfbeddbcecc","https://image-assets.m.nintendo.com/7492fd19-7d97-4d8a-a81f-70585904c46b"
90,"Soccer",1985,"Nintendo Entertainment System","",False,"69cb9b80-6b28-4d24-b5c3-22cac1261349","https://image-assets.m.nintendo.com/e2b980f1-959b-4dca-827e-cd866d77aa87"
91,"Wrecking Crew",1985,"Nintendo Entertainment System","",False,"b96501dc-b61d-4a7a-9ec2-7c0f32f2b09f","https://image-assets.m.nintendo.com/43ba06c3-3fce-45e0-b936-c7a9985fb254"
92,"Stack-Up",1985,"Nintendo Entertainment System","Gyromite",False,"2ae5f5c7-eccb-43fb-99e6-5d86c40dd7ba","https://image-assets.m.nintendo.com/db60a381-8c43-4e57-a659-077c63cee7e1"
93,"Gyromite",1985,"Nintendo Entertainment System","Stack-Up",False,"85b83fcd-b5cf-4583-89a4-089f9e65caff","https://image-assets.m.nintendo.com/b8b4097a-3bdc-48d0-8f16-012908b0cbf7"
94,"Mach Rider",1985,"Nintendo Entertainment System","",False,"33d8695b-de51-498a-b687-7279548de28e","https://image-assets.m.nintendo.com/7ad39a96-d26b-4cf1-8150-e8aa32dd253d"
